from,to,dialogue,yarn_id
JOCASTA NU,OBI-WAN,Did you call for assistance?,874132
OBI-WAN,JOCASTA NU,Yes.,874150
OBI-WAN,JOCASTA NU,"yes, I did.",874152
JOCASTA NU,OBI-WAN,"Are you having a problem, Master Kenobi?",874163
OBI-WAN,JOCASTA NU,"Yes, I'm looking for a planetary system called Kamino.",874168
JOCASTA NU,OBI-WAN,Kamino?,874180
OBI-WAN,JOCASTA NU,It doesn't show up on the archive charts.,874186
JOCASTA NU,OBI-WAN,Kamino.,874188
JOCASTA NU,OBI-WAN,It's not a system I'm familiar with.,874193
JOCASTA NU,OBI-WAN,Are you sure you have the right coordinates?,874193
OBI-WAN,JOCASTA NU,"According to my information, it should appear in this quadrant here.",874193
OBI-WAN,JOCASTA NU,just south of the Rishi Maze.,874197
JOCASTA NU,OBI-WAN,"I hate to say it, but it looks like the system you're searching for.",874198
JOCASTA NU,OBI-WAN,doesn't exist.,874202
OBI-WAN,JOCASTA NU,Impossible.,874202
OBI-WAN,JOCASTA NU,Perhaps the archives are incomplete.,874206
JOCASTA NU,OBI-WAN,If an item does not appear in our records.,874206
JOCASTA NU,OBI-WAN,it does not exist.,874206
FOOD SERVER,R2D2,Hey you!,874206
FOOD SERVER,R2D2,No Droids!,874206
R2D2,FOOD SERVER,[ Beeping ]
FOOD SERVER,R2D2,Get outta here!,874206
R2D2,FOOD SERVER,[ Beeping ]
R2D2,PADME,[ Beeping ]
PADME,R2D2,"Thank you, R2.",874207
R2D2,PADME,[ Chirping ]
PADME,ANAKIN,"Must be difficult, having sworn your life to the Jedi.",874215
PADME,ANAKIN,not being able to visit the places you like or do the things you like.,874216
ANAKIN,PADME,Or be with the people that I love.,874216
PADME,ANAKIN,Are you allowed to love?,874218
PADME,ANAKIN,I thought that was forbidden for a Jedi.,874229
ANAKIN,PADME,Attachment is forbidden.,874229
ANAKIN,PADME,Possession is forbidden.,874235
ANAKIN,PADME,"Compassion, which I would define as unconditional love.",874236
ANAKIN,PADME,is central to a Jedi's life.,874236
ANAKIN,PADME,So you might say that we are encouraged to love.,874246
PADME,ANAKIN,You've changed so much.,874261
ANAKIN,PADME,You haven't changed a bit.,874263
ANAKIN,ANAKIN,You're exactly the way I remember you in my dreams.,874275
YODA,YOUNGLINGS,Reach out.,874279
YODA,YOUNGLINGS,Sense the Force around you.,874279
YODA,YOUNGLINGS,Use your feelings you must.,874279
YODA,YOUNGLINGS,Younglings.,874279
YODA,YOUNGLINGS,Younglings!,874279
YODA,YOUNGLINGS,A visitor we have.,874280
YOUNGLINGS,OBI-WAN,"Hello, Master Obi-Wan.",874280
OBI-WAN,YOUNGLINGS,Hello.,874280
OBI-WAN,YODA,"I'm sorry to disturb you, Master.",874295
YODA,OBI-WAN,"What help can I be, Obi-Wan?",874296
OBI-WAN,YODA,I'm looking for a planet described to me by an old friend.,874298
OBI-WAN,YODA,"I trust him, but the systems don't show on the archive maps.",874310
YODA,"YOUNGLINGS, OBI-WAN",Lost a planet Master Obi-Wan has.,874314
YODA,"YOUNGLINGS, OBI-WAN",How embarrassing.,874316
YODA,"YOUNGLINGS, OBI-WAN",How embarrassing.,874316
YODA,"YOUNGLINGS, OBI-WAN","Liam, the shades.",874317
